artist,track,play_count
Eluveitie,Ambiramus,1
Eluveitie,Ategnatos,1
Eluveitie,Brictom,1
Eluveitie,Nata Vimpi Cvrmid / Ira Sancti (When the Saints Are Going Wild),1
Eluveitie,The Call of the Mountains,1
Epica,Ascension - Dream State Armageddon,1
Epica,Beyond the Matrix,1
Epica,Edge of the Blade,1
Epica,The Cosmic Algorithm,1
Epica,Universal Death Squad,1
Faul & Wad Ad,Changes - Original Mix,1
Garasxetia Vigdorcik,The Agonist Orphans,1
Ghost,Cirice,1
Ghost,Rats,1
Ghost,Square Hammer,1
Greta Van Fleet,A Change Is Gonna Come,1
Greta Van Fleet,Black Smoke Rising - Recorded At Spotify Studios NYC,1
Greta Van Fleet,Brave New World,1
Greta Van Fleet,Edge of Darkness,1
Greta Van Fleet,Highway Tune,1
Greta Van Fleet,Safari Song,1
Greta Van Fleet,Talk On The Street,1
Greta Van Fleet,The New Day,1
Greta Van Fleet,Watching Over,1
Greta Van Fleet,When The Curtain Falls,1
Haggard,Awaking the Centuries,1
Haggard,Chapter II: Upon Fallen Autumn Leaves,1
Haggard,In a Pale Moon´s Shadow (Chapter III),1
Haggard,Prophecy Fulfilled / And the Dark Night Entered,1
Iggy Pop,Candy,1
Insomnium,Heart Like a Grave,1
Insomnium,The Elder,1
Insomnium,Valediction,1
Ivy Crown,Not Who We Are,1
Jan Blomqvist,The Space in Between - Ben Böhmer Remix,1
Jan Blomqvist,The Space In Between (Ben Böhmer Remix),1
Jinjer,Judgement (& Punishment) - Tatiana Shmayluk - One Take Vocal Performance,1
Jinjer,No Hoard of Value,1
Jinjer,Outlander,1
Jinjer,Perennial,1
Jinjer,Pisces (Live Session),1
Jinjer,Under the Dome,1
Jinjer,Who Is Gonna Be the One,1
Jinjer,Who is gonna be the one (live),1
Joy Division,Disorder - 2007 Remaster,1
Kaskade,Beneath with Me (feat. Skylar Grey),1
Kim Carnes,Bette Davis Eyes,1
Laura Veirs,July Flame,1
Led Zeppelin,Black Dog - Remaster,1
Led Zeppelin,"Good Times Bad Times - Live: O2 Arena, London - December 10, 2007",1
Led Zeppelin,Immigrant Song - Remaster,1
Led Zeppelin,Since I've Been Loving You - 1/4/71 Paris Theatre; 2016 Remaster,1
Led Zeppelin,Whole Lotta Love - 1990 Remaster,1
Metallica,Master of Puppets,1
Metallica,Whiskey in the Jar,1
Milky Chance,Stolen Dance,1
Monolink,Father Ocean (Ben Böhmer Remix),1
Morgan Page,The Longest Road - deadmau5 Remix Edit,1
Morrissey,Something Is Squeezing My Skull,1
Mors Principium Est,March To War,1
Mouse on the Keys,Seiren,1
Music Is My Occupation,The Skatalites,1
New Order,Blue Monday - 2016 Remaster,1
Omnium Gatherum,Chaospace,1
Omnium Gatherum,Ego,1
Omnium Gatherum,Foundation,1
Omnium Gatherum,Majesty and Silence,1
Omnium Gatherum,Refining Fire,1
Omnium Gatherum,Soul Journeys,1
Omnium Gatherum,The Unknowing,1
Parcels,Lightenup,1
Parcels,Tieduprightnow,1
Paul van Dyk,Shine Ibiza Anthem 2019,1
Pink Floyd,Pigs (Three Different Ones),1
Polyphia,Crush,1
Polyphia,Euphoria,1
Polyphia,James Franco,1
Polyphia,Nightmare,1
Rey Pila,Dark Paradise,1
Rey Pila,Surveillance Camera,1
Rush,The Spirit of Radio,1
Rush,Tom Sawyer,1
Scott Bradlee's Postmodern Jukebox,99 Luftballons,1
Scott Bradlee's Postmodern Jukebox,Bizarre Love Triangle,1
Scott Bradlee's Postmodern Jukebox,Chandelier,1
Scott Bradlee's Postmodern Jukebox,Crazy Train,1
Scott Bradlee's Postmodern Jukebox,Don't Look Back in Anger,1
Scott Bradlee's Postmodern Jukebox,Last Nite,1
Scott Bradlee's Postmodern Jukebox,Mr Brightside,1
Scott Bradlee's Postmodern Jukebox,Nothing Else Matters,1
Scott Bradlee's Postmodern Jukebox,Roxanne,1
Scott Bradlee's Postmodern Jukebox,Sex On Fire,1
Scott Bradlee's Postmodern Jukebox,Somewhere Only We Know,1
Scott Bradlee's Postmodern Jukebox,Welcome to the Black Parade - Karaoke Version,1
Sonata Arctica,FullMoon,1
The Agonist,As One We Survive,1
The Agonist,Business Suits and Combat Boots,1
The Agonist,Dust to Dust,1
The Agonist,Gates of Horn and Ivory,1
The Agonist,Mr. Cold,1
The Agonist,The Gift of Silence,1
The Agonist,"The Tempest (the Siren's Song, The Banshee's Cry)",1
The Cinematics,A Strange Education,1
The Gaslamp Killer,Nissim (Ben Böhmer Remix),1
The Holloways,Dancefloor,1
The Interrupters,She Got Arrested,1
The Interrupters,She's Kerosene,1
The Oh Hellos,Like The Dawn - David K. Radio Mix,1
The Pigeon Detectives,I Can't Control Myself,1
The Pigeon Detectives,I'm Not Sorry,1
The Pigeon Detectives,Take Her Back,1
The Pigeon Detectives,You Better Not Look My Way,1
The Skatalites,African Beat,1
The Skatalites,After The Rain,1
The Skatalites,Bye Bye,1
The Skatalites,Doreen Special,1
The Skatalites,I Will Always Love You,1
The Skatalites,June Rose,1
The Skatalites,Little Irene,1
The Skatalites,Marguerita's Lament,1
The Skatalites,Right Track,1
The Skatalites,Shock Trail,1
The Skatalites,Twelve Minutes to Go,1
